N do IS,Tipo de envio,Fecha y hora agendada,Fecha y hora de llegada,Volumenes declarados,Volumenes recibidos,Codigos ML en IS,Unidades en IS,Vendedor | Origen,Estado del IS,Atributo do IS
820164,SPD,10/06/2020 23:00,28/09/2020 10:41,2,2,3,30,ZARI7411204,Cerrado,cpg
856059,SPD,18/06/2020 23:00,26/09/2020 13:44,1,1,1,10,XOE TECHNOLOGY,Cerrado,-
877822,SPD,08/07/2020 23:00,28/09/2020 10:41,6,6,8,77,BO277959,Cerrado,cpg
914013,SPD,09/07/2020 23:00,28/09/2020 10:41,1,1,3,15,BAZARFREE,Cerrado,cpg
928800,SPD,12/07/2020 23:00,28/09/2020 10:41,3,3,1,90,BAZARFREE,Cerrado,cpg
908533,SPD,16/07/2020 23:00,28/09/2020 10:41,1,1,6,60,DEMIN STOREMX,Cerrado,-
938922,SPD,23/07/2020 23:00,28/09/2020 10:41,4,4,2,96,ARER367711,Cerrado,cpg
971804,SPD,27/07/2020 23:00,28/09/2020 10:41,1,1,15,21,VADA1267852,En Put away,-
979618,SPD,29/07/2020 23:00,26/09/2020 11:09,3,3,1,300,GRUPO EXXE,Cerrado,-
990665,SPD,31/07/2020 23:00,28/09/2020 10:41,2,2,1,75,BAZARFREE,Cerrado,cpg
996043,SPD,03/08/2020 23:00,28/09/2020 22:05,13,1,3,620,GIMCALOMX1,Cerrado,-
1002184,SPD,04/08/2020 23:00,28/09/2020 10:41,1,1,17,69,YOLANDALIZBETHDELOSSANTOS,Cerrado,-
1020374,SPD,09/08/2020 23:00,28/09/2020 10:41,1,1,1,20,URGA7275714,Cerrado,-
1024396,SPD,10/08/2020 23:00,28/09/2020 20:30,1,2,35,152,TELO-ENVIO,En Stage In,cpg
1026931,SPD,11/08/2020 23:00,26/09/2020 11:09,1,1,1,3,SC7726,Cerrado,-
1026800,SPD,12/08/2020 23:00,28/09/2020 22:29,18,2,3,519,ZHUJIANQINMX1,En Put away,-
1018541,SPD,14/08/2020 23:00,26/09/2020 11:09,1,1,12,390,ONIS-MX,Cerrado,-
1044540,SPD,15/08/2020 23:00,28/09/2020 10:41,1,1,23,191,PRODUCTOSPARABARMX,Cerrado,-
1025954,SPD,20/08/2020 10:00,28/09/2020 15:11,25,25,1,300,MWONTOPMXMX1,Cerrado,-
1057945,SPD,20/08/2020 23:00,28/09/2020 10:41,1,1,2,20,LAPCOS INC,Cerrado,-
1059836,SPD,20/08/2020 23:00,26/09/2020 11:09,1,1,1,10,R E,Cerrado,-
1026901,SPD,22/08/2020 16:00,28/09/2020 22:29,7,3,2,258,IFORUTECHMX1,En Put away,-
995526,SPD,27/08/2020 07:00,28/09/2020 12:09,50,2,1,1000,FUTUREBETTERMX1,Cerrado,-
991797,SPD,27/08/2020 10:00,28/09/2020 22:05,21,1,1,504,AITASIMX,En Put away,-
995524,SPD,28/08/2020 07:00,28/09/2020 15:11,2,2,1,400,HXMSTORESMX1,Cerrado,-
1089964,SPD,28/08/2020 23:00,26/09/2020 17:50,3,3,4,800,FOSHANJIAPAI2020MX,Cerrado,-
1090536,SPD,28/08/2020 23:00,26/09/2020 17:50,4,4,1,40,SPORTSHOP01MX1,Cerrado,-
1090541,SPD,28/08/2020 23:00,26/09/2020 17:50,20,20,1,20,MXWORKPRO,Cerrado,-
1093009,SPD,28/08/2020 23:00,28/09/2020 10:41,2,2,9,101,MEJORVIDAMEXICO,Cerrado,-
996011,SPD,29/08/2020 07:00,28/09/2020 16:52,460,453,1,2300,AITASIMX,En Put away,-
996009,SPD,29/08/2020 08:00,28/09/2020 19:32,375,375,1,2000,AITASIMX,En Put away,-
995996,SPD,29/08/2020 11:00,28/09/2020 16:50,340,340,1,1000,AITASIMX,Cerrado,-
1066915,SPD,29/08/2020 23:00,28/09/2020 10:41,5,4,27,96,GOTILANDIA CORPORATIVOTAMEZ,Cerrado,-
1095540,SPD,29/08/2020 23:00,26/09/2020 17:50,10,10,1,10,XIAOMIYOUPINMX1,Cerrado,-
1095867,SPD,29/08/2020 23:00,28/09/2020 17:24,71,71,1,1278,ANDRESMX2,En Put away,-
1002610,SPD,30/08/2020 23:00,28/09/2020 12:09,25,2,2,1420,WUYUMX1,Cerrado,-
1002742,SPD,30/08/2020 23:00,28/09/2020 12:09,20,2,1,500,WUYUMX1,Cerrado,-
1102308,SPD,30/08/2020 23:00,26/09/2020 01:34,1,1,5,11,UNASPLAYERAS,Cerrado,-
1001122,SPD,31/08/2020 16:00,28/09/2020 22:05,16,3,3,396,NEWSUNTECHMX1,En Put away,-
1002401,SPD,31/08/2020 17:00,28/09/2020 22:58,5,1,4,148,SUNSIGNMX1,En Put away,-
1026858,SPD,01/09/2020 23:00,28/09/2020 22:29,12,1,1,480,LONKTECHMX1,Cerrado,-
1105597,SPD,01/09/2020 23:00,28/09/2020 10:41,2,2,22,257,SOLOXMAYOREO,Cerrado,-
1095688,SPD,02/09/2020 23:00,26/09/2020 17:50,1,1,1,50,HEBANGLIFEMX1,Cerrado,-
1105210,SPD,02/09/2020 23:00,28/09/2020 17:24,5,5,2,148,NEWBEEDIRECTMX1,En Stage In,-
1105442,SPD,02/09/2020 23:00,26/09/2020 17:50,2,2,8,132,XSXSHOPMX1,Cerrado,-
1107794,SPD,02/09/2020 23:00,26/09/2020 17:50,2,2,8,56,VALLEYHOMEMX,Cerrado,-
1108003,SPD,02/09/2020 23:00,26/09/2020 17:50,25,15,1,300,BETTERLIFEMX1,Cerrado,-
1108061,SPD,02/09/2020 23:00,26/09/2020 17:50,10,10,1,200,FANTASTICSHOPMX1,Cerrado,-
1015812,SPD,03/09/2020 09:00,28/09/2020 12:09,10,2,1,300,CUCKOOMX,Cerrado,-
993116,SPD,03/09/2020 11:00,28/09/2020 22:29,9,1,8,606,MIRAVIDAMX,Cerrado,-
1015806,SPD,03/09/2020 11:00,28/09/2020 12:09,10,1,1,300,MIDUOTECNOLOGÍAMX1,Cerrado,-
1015780,SPD,03/09/2020 13:00,28/09/2020 12:09,10,1,1,300,SANCEÓNTECHNOLOGYMX,Cerrado,-
1089908,SPD,03/09/2020 23:00,28/09/2020 19:33,4,4,22,629,UFINGO2019MX,Cerrado,-
1090442,SPD,03/09/2020 23:00,26/09/2020 17:50,6,5,2,120,IPÊMX1,Cerrado,-
1106689,SPD,03/09/2020 23:00,26/09/2020 17:37,3,2,10,100,SELINA.SEMX,Cerrado,-
1115865,SPD,03/09/2020 23:00,28/09/2020 10:41,1,1,6,60,DUCKER DEPOT,Cerrado,-
1116480,SPD,03/09/2020 23:00,28/09/2020 10:41,2,2,1,24,DAVIDCEDILLOT,Cerrado,-
1117811,SPD,03/09/2020 23:00,28/09/2020 10:41,1,1,6,102,ALVAMAURICIO24,Cerrado,-
1031798,SPD,04/09/2020 08:00,28/09/2020 16:50,2,2,2,190,AITASIMX,Cerrado,-
1016265,SPD,04/09/2020 13:00,28/09/2020 12:09,60,4,1,1200,FUTUREBETTERMX1,Cerrado,-
1016144,SPD,04/09/2020 15:00,28/09/2020 22:58,8,1,1,128,LIANYUNMX,En Put away,-
1020141,SPD,04/09/2020 17:00,28/09/2020 22:05,9,1,1,180,UIISIIMX,Cerrado,-
1099854,SPD,04/09/2020 23:00,26/09/2020 17:50,14,14,23,2651,DAIWEIFENGMX1,Cerrado,-
1104844,SPD,04/09/2020 23:00,26/09/2020 17:50,28,28,2,1208,JEFFBEZOSMX1,Cerrado,-
1107710,SPD,04/09/2020 23:00,26/09/2020 17:50,1,1,10,125,SEXTA-FEIRAMX1,Cerrado,-
1117909,SPD,04/09/2020 23:00,26/09/2020 17:37,1,1,1,100,IPÊMX1,Cerrado,-
1118298,SPD,04/09/2020 23:00,28/09/2020 17:24,4,4,13,453,IOOTTATECHMX,En Stage In,-
1119283,SPD,04/09/2020 23:00,26/09/2020 07:27,1,1,24,432,EVOLUCIONPC MTY,Cerrado,-
1122913,SPD,04/09/2020 23:00,28/09/2020 10:41,1,1,12,46,CHUTAMANIA1,Cerrado,-
1026860,SPD,05/09/2020 07:00,28/09/2020 22:05,22,2,1,440,STARFLYMX,En Put away,-
1020817,SPD,05/09/2020 11:00,28/09/2020 22:58,9,3,4,170,SUNSIGNMX1,En Put away,-
1026870,SPD,05/09/2020 23:00,28/09/2020 22:29,15,1,5,462,TEKERMX1,Cerrado,-
1123076,SPD,05/09/2020 23:00,26/09/2020 17:50,12,12,8,2207,JEFFBEZOSMX1,Cerrado,-
1123400,SPD,05/09/2020 23:00,26/09/2020 17:50,8,8,2,331,PECOMX,Cerrado,-
1123438,SPD,05/09/2020 23:00,26/09/2020 17:50,4,4,60,1970,KOOBNYMX,En Problem Solver,-
1123575,SPD,05/09/2020 23:00,26/09/2020 17:50,4,2,2,100,PONYSHOPMX,Cerrado,-
1123581,SPD,05/09/2020 23:00,26/09/2020 17:50,5,3,2,97,TIENDAVIENTIANEMX,Cerrado,-
1123592,SPD,05/09/2020 23:00,26/09/2020 17:50,14,3,2,100,CAIXIAOHONGMX2,Cerrado,-
1128181,SPD,06/09/2020 23:00,26/09/2020 17:50,3,3,25,112,YALUNTALUNMX1,En Problem Solver,-
1128185,SPD,06/09/2020 23:00,26/09/2020 17:50,6,6,192,465,METMEMX1,Cerrado,-
1128316,SPD,06/09/2020 23:00,26/09/2020 17:50,15,15,5,868,KRTMX1,Cerrado,-
1128318,SPD,06/09/2020 23:00,26/09/2020 17:50,1,1,1,10,WAROOMMX1,Cerrado,-
1128368,SPD,06/09/2020 23:00,26/09/2020 17:50,5,5,2,280,MIDLANDERMX,Cerrado,-
1128401,SPD,06/09/2020 23:00,26/09/2020 17:50,18,18,5,367,KTECHMX,Cerrado,-
1128444,SPD,06/09/2020 23:00,28/09/2020 17:24,1,1,6,190,BROTHERMX1,En Stage In,-
1128457,SPD,06/09/2020 23:00,26/09/2020 17:50,1,1,1,100,YH-OFFICIALMX1,Cerrado,cpg
1128466,SPD,06/09/2020 23:00,26/09/2020 17:50,22,22,37,1163,ENJOYTECHNOLOGYLIFEMX,Cerrado,-
1128668,SPD,06/09/2020 23:00,26/09/2020 17:50,5,5,9,782,HSMLMX,Cerrado,-
1129045,SPD,06/09/2020 23:00,26/09/2020 17:50,3,3,6,1148,BROTHERMX1,Cerrado,-
1026062,SPD,07/09/2020 15:00,28/09/2020 22:58,16,1,6,470,IOOTTATECHMX,En Put away,-
